IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
59.166.0.8,22023,149.171.126.2,1577,6,36.0,2854,30622,46,48,27,23,0,Benign
59.166.0.6,26214,149.171.126.9,37823,17,11.0,536,304,4,4,0,1,0,Benign
59.166.0.7,10429,149.171.126.2,2854,6,0.0,2766,25812,44,46,27,0,0,Benign
59.166.0.7,19931,149.171.126.2,34154,6,0.0,320,1898,6,8,27,0,0,Benign
59.166.0.0,42265,149.171.126.3,80,6,7.0,1684,10168,14,18,27,0,0,Benign
59.166.0.2,54113,149.171.126.1,22,6,92.0,3728,5474,32,24,27,5,0,Benign
59.166.0.4,28963,149.171.126.0,25,6,3.0,37152,3380,52,42,27,667,0,Benign
59.166.0.5,23380,149.171.126.0,143,6,4.0,7800,15630,122,126,27,1020,0,Benign
59.166.0.1,60372,149.171.126.4,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.7,61294,149.171.126.4,18208,6,36.0,3614,43716,60,62,27,36,0,Benign
59.166.0.4,12819,149.171.126.9,111,17,11.0,568,304,4,4,0,4,0,Benign
59.166.0.7,63285,149.171.126.8,1292,6,36.0,2334,16364,36,38,27,62,0,Benign
59.166.0.3,61448,149.171.126.8,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.1,27468,149.171.126.8,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.2,22216,149.171.126.0,1736,6,36.0,2646,25684,42,44,27,12,0,Benign
59.166.0.4,30283,149.171.126.6,6881,6,37.0,1540,1644,16,18,27,19,0,Benign
59.166.0.1,38847,149.171.126.7,45442,6,0.0,5174,86792,90,92,27,0,0,Benign
59.166.0.6,39424,149.171.126.7,5190,6,0.0,2062,2308,24,24,27,6,0,Benign
59.166.0.7,36082,149.171.126.9,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.7,20876,149.171.126.9,63092,6,36.0,2750,27886,44,46,27,48,0,Benign
59.166.0.0,5425,149.171.126.2,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.6,43722,149.171.126.4,21,6,1.0,2934,3738,52,54,27,0,0,Benign
59.166.0.5,64821,149.171.126.0,25,6,3.0,37216,3380,52,42,27,43,0,Benign
59.166.0.0,7417,149.171.126.2,5454,6,36.0,2958,32642,48,50,27,41,0,Benign
59.166.0.8,62435,149.171.126.7,57668,6,0.0,8928,320,14,6,27,827,0,Benign
59.166.0.0,56462,149.171.126.1,143,6,4.0,7818,15364,122,126,27,37,0,Benign
59.166.0.4,32796,149.171.126.8,30816,6,36.0,2974,31400,48,50,27,28,0,Benign
59.166.0.7,5790,149.171.126.7,80,6,7.0,1684,10168,14,18,27,1187,0,Benign
59.166.0.7,3862,149.171.126.6,25,6,3.0,37264,3172,52,38,27,0,0,Benign
59.166.0.0,32191,149.171.126.7,28296,6,36.0,3182,39076,52,54,27,23,0,Benign
59.166.0.7,19968,149.171.126.0,63140,6,0.0,4550,68342,78,80,27,0,0,Benign
59.166.0.4,31974,149.171.126.4,30036,6,0.0,3614,49036,60,62,27,0,0,Benign
59.166.0.0,22734,149.171.126.7,57561,6,0.0,8928,320,14,6,27,0,0,Benign
59.166.0.6,31897,149.171.126.5,6881,6,37.0,24640,1094788,438,858,27,3452,0,Benign
175.45.176.0,64644,149.171.126.10,520,17,0.0,64,0,2,0,0,0,0,Benign
59.166.0.5,65119,149.171.126.1,53,17,5.0,130,162,2,2,0,1,0,Benign
59.166.0.2,40833,149.171.126.4,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.4,28730,149.171.126.3,111,17,0.0,568,312,4,4,0,0,0,Benign
59.166.0.0,49488,149.171.126.3,5190,6,0.0,2158,2464,24,24,27,0,0,Benign
59.166.0.1,25912,149.171.126.3,54357,6,36.0,2750,26584,44,46,27,15,0,Benign
59.166.0.2,21855,149.171.126.6,53,17,5.0,130,162,2,2,0,1,0,Benign
59.166.0.2,51536,149.171.126.2,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.8,17341,149.171.126.1,111,17,11.0,568,312,4,4,0,4,0,Benign
59.166.0.7,38853,149.171.126.8,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.3,23346,149.171.126.7,21,6,1.0,2934,3742,52,54,27,2988,0,Benign
59.166.0.7,14949,149.171.126.0,64665,6,0.0,320,1902,6,8,27,46,0,Benign
59.166.0.3,49034,149.171.126.5,80,6,7.0,1580,10168,12,18,27,0,0,Benign
59.166.0.6,55210,149.171.126.6,56082,6,0.0,3848,2456,18,18,27,0,0,Benign
59.166.0.8,20528,149.171.126.2,111,17,11.0,568,320,4,4,0,4,0,Benign
59.166.0.2,37356,149.171.126.7,53,17,5.0,130,162,2,2,0,1,0,Benign
59.166.0.4,52571,149.171.126.6,57102,6,36.0,2542,22546,40,42,27,50,0,Benign
59.166.0.1,48539,149.171.126.5,46979,6,36.0,2958,32368,48,50,27,25,0,Benign
59.166.0.1,12203,149.171.126.1,53,17,5.0,132,164,2,2,0,1,0,Benign
175.45.176.0,0,149.171.126.17,0,56,0.0,200,0,2,0,0,0,1,DoS
59.166.0.3,65188,149.171.126.6,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.8,16804,149.171.126.2,11383,6,36.0,2438,20006,38,40,27,10,0,Benign
59.166.0.6,55963,149.171.126.5,53,17,0.0,130,162,2,2,0,0,0,Benign
59.166.0.5,31472,149.171.126.9,4706,6,0.0,2542,23154,40,42,27,0,0,Benign
175.45.176.0,20072,149.171.126.19,1723,6,0.0,2504,256,10,6,19,635,1,Fuzzers
59.166.0.0,57037,149.171.126.7,53,17,0.0,130,162,2,2,0,0,0,Benign
59.166.0.6,52984,149.171.126.7,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.8,21474,149.171.126.0,53,17,5.0,130,162,2,2,0,0,0,Benign
59.166.0.0,63532,149.171.126.0,5190,6,0.0,2158,2464,24,24,27,251,0,Benign
59.166.0.2,60437,149.171.126.1,111,17,0.0,568,312,4,4,0,0,0,Benign
59.166.0.5,18455,149.171.126.3,80,6,7.0,1684,10168,14,18,27,0,0,Benign
59.166.0.9,50582,149.171.126.0,21,6,1.0,2934,3742,52,54,27,36,0,Benign
59.166.0.1,7106,149.171.126.4,111,17,11.0,568,304,4,4,0,5,0,Benign
59.166.0.4,4522,149.171.126.5,2346,6,36.0,4030,55486,68,68,27,112,0,Benign
59.166.0.6,10802,149.171.126.4,38992,6,0.0,4342,61854,74,74,27,0,0,Benign
59.166.0.4,26013,149.171.126.4,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.8,8354,149.171.126.7,6881,6,0.0,24744,1094788,440,858,27,4294951,0,Benign
